review_id,product_id,review_content,rating,date,helpful_vote,verified_purchase,top_reviewer,title,bought_model,is_anomaly
1,1,"The expresso works, but the steamer doesn’t. Other than that it’s a cheap expresso machine so don’t expect fancy levers.",4,2018-02-14,,True,,Simplistic,"Color: Silver<i class=""a-icon a-icon-text-separator"" role=""img"" aria-label=""|""></i>Style Name: Automatic Dual Shot",
2,1,"<div id=""video-block-R3849LQ707IFFU"" class=""a-section a-spacing-small a-spacing-top-mini video-block""></div><input type=""hidden"" name="""" value=""https://images-na.ssl-images-amazon.com/images/I/C1Cr7R7ftPS.mp4"" class=""video-url""><input type=""hidden"" name="""" value=""https://images-na.ssl-images-amazon.com/images/I/91TzeEMOR2S.png"" class=""video-slate-img-url"">&nbsp;Worth it! Once you get the instructions down and use it the first time you will love it too!",5,2018-02-23,,True,,Once you get the instructions down and use it the first time you will love it too,"Color: Silver<i class=""a-icon a-icon-text-separator"" role=""img"" aria-label=""|""></i>Style Name: Espresso/Cappuccino Maker",
3,1,Best machine to brew espresso and cappuccino at home. Value for money .it just taste like cafe cappuccino .<br />I recommended to all my friends .,5,2017-07-06,,True,,"Best espresso ,cappuccino machine .","Color: Silver<i class=""a-icon a-icon-text-separator"" role=""img"" aria-label=""|""></i>Style Name: Espresso/Cappuccino Maker",
4,1,"I thought this was the same as a similar model I had purchased, but it is NOT. The espresso is weak! I tried to adjust the amount of coffee so it would be better, but it just didn't work. I use a high quality espresso blend, so I know it isn't the espresso. Plus the one I previously purchased was amazing and the same price. It is also made by Mr. Coffee, but not available on Amazon. I think this was the prototype that failed... Also, unless you steam the milk forever it never gets hot enough.",2,2013-02-17,,True,,Not at all impressed!!!,"Color: Cappuccino<i class=""a-icon a-icon-text-separator"" role=""img"" aria-label=""|""></i>Style Name: 4-Cup Steam",
5,1,I don't particularly like the steamer spout on this one but I've gotten use to it.  I removed the black plastic sleeve as it made it too hard to clean and works a little better that way.  Also the screw to remove filter screen to clean was extremely hard to remove first time and I nearly destroyed it getting it to finally come out.,3,2016-11-14,,True,,I don't particularly like the steamer spout on this one but I've gotten ...,"Color: Cappuccino<i class=""a-icon a-icon-text-separator"" role=""img"" aria-label=""|""></i>Style Name: 4-Cup Steam",
6,1,"I can never figure it out. Inaccurate froth amount every time. Sometimes i get half a cup sometimes the cup is too small for the same setting beverage. Cant figure it out, not happy about that",3,2018-02-07,,True,,not happy about,"Color: Silver<i class=""a-icon a-icon-text-separator"" role=""img"" aria-label=""|""></i>Style Name: Espresso/Cappuccino Maker",
7,1,"This makes latte and cappuccino production very easy.  Pour in the milk , grounds coffee and its pretty much automatic.  Only problem is that the machine is crazy glued together because it starts to leak and you get lukewarm drinks after a few weeks.  I went through 2 of these because I liked the convenience.  For 200 bucks though, it should last longer than a few weeks.",2,2014-01-26,,True,,Could have been great,"Color: Silver<i class=""a-icon a-icon-text-separator"" role=""img"" aria-label=""|""></i>Style Name: Espresso/Cappuccino Maker",
8,1,Was good when I first bought it but within a few months it became a hit and miss appliance with inconsistent results.,1,2018-06-09,,True,,Cheap. Waste.,"Color: Cappuccino<i class=""a-icon a-icon-text-separator"" role=""img"" aria-label=""|""></i>Style Name: 4-Cup Steam",
9,1,"I never thought an espresso machine would make me so happy. It is SO easy. Yummy, frothy drinks. On the loud side but not as loud as others. I used to dread dealing with and drinking my own made espresso from a DeLonghi, but now I choose my Mr. coffee machine over going to a cafe. Definitely worth the money.",5,2018-11-30,,True,,Worth it!,"Color: Silver<i class=""a-icon a-icon-text-separator"" role=""img"" aria-label=""|""></i>Style Name: Espresso/Cappuccino Maker",
10,1,I love this!! Like a special treat every morning. Sometimes it does overflow/can't regulate froth but just a little. Most of the time it's user error =D<br />Love love love it!!!,5,2017-07-14,,True,,Must have,"Color: Silver<i class=""a-icon a-icon-text-separator"" role=""img"" aria-label=""|""></i>Style Name: Espresso/Cappuccino Maker",
11,1,"Bought this for myself for Christmas was skeptical, but it works wonderful! the steamer works perfect. Makes great coffee I have lattes and cappuccinos now every morning.",4,2018-01-22,,True,,but it works wonderful! the steamer works perfect,"Color: Silver<i class=""a-icon a-icon-text-separator"" role=""img"" aria-label=""|""></i>Style Name: Espresso/Cappuccino Maker",
12,1,"I bought this machine two weeks ago and use it twice a day, plus frothing two 20oz cups of 2 percent milk each time.<br />It froths milk great for me all though a little slow (2-3 minutes).<br /> seriously this is not as hard as many of the lower reviews posted...<br />mmmmm,mocha latte' me likey oh so good! lol funny people who cant use a simple espresso machine.<br />p.s does not come with tamper.",4,2011-12-03,,True,,frother works and the espresso is fine,"Color: Cappuccino<i class=""a-icon a-icon-text-separator"" role=""img"" aria-label=""|""></i>Style Name: 4-Cup Steam",
13,1,First-time Barista! It's a life changer. :-),5,2018-04-15,,True,,Five Stars,"Color: Silver<i class=""a-icon a-icon-text-separator"" role=""img"" aria-label=""|""></i>Style Name: Espresso/Cappuccino Maker",
14,1,It was a complete dissappointment because the coffee comes out with a metalic flavour.  I brewed coffee  several times before giving up.<br />I am really sorry because it is very easy to use and it fits perfectly in my small kitchen counter but the coffee has a metal like aftertaste.,1,2016-02-05,,True,,complete dissappointment,"Color: Cappuccino<i class=""a-icon a-icon-text-separator"" role=""img"" aria-label=""|""></i>Style Name: 4-Cup Steam",
