review_id,product_id,review_content,rating,date,helpful_vote,verified_purchase,top_reviewer,title,bought_model,is_anomaly
1,1,"This is an excellent coffee maker.  The reservoir is quite large (9-1/2 cups) so you are not constantly refilling it.  It makes very good coffee and there are so, so many brands of the K-Cup flavors from the coffees to Hot Chocolate and Teas.",5,2017-08-12,,True,,Love it,Color: Black,
2,1,"This product when it works is great.  Problem is half of the time it doesn’t.  Very frustrating!  Water doesn’t transfer from container to coffee maker.  I’m past my return time now, so will probably have to look for alternatives.",2,2018-03-21,,True,,This product when it works is great. Problem is half of the time it doesn’t,Color: Black,
3,1,"Just what I wanted, a no frills one shot Keurig with a reservoir - which spoiled me and now I'd like an even larger reservoir I drink so much coffee.",4,2016-05-30,,True,,Just what I wanted,Color: Black,
4,1,Love it.,5,2017-12-05,,True,,Five Stars,Color: Black,
5,1,I WAS USING A COFFEE PRESS - WHAT A DIFFERENCE THIS MAKES !  SO GLAD I HAVE IT,5,2017-01-22,,True,,LOVE IT !,Color: Black,
6,1,Got this as a gift for an employee.  Great for small households.,5,2017-07-17,,True,,Great product.,Color: Black,
7,1,This coffee maker sucks!!!! It will only make half cups of coffee. I’ve had it one week and it’s all<br />Ready not working. I’ve followed the owners manual on cleaning it and it did nothing!!!!,1,2018-06-10,,True,,This coffee maker sucks!!,Color: Black,
8,1,I like how it makes coffee but do not like the fact the water cannot be completely drained out of the internal chamber.  Its a health hazard with the chance of bacteria growing in it.  Im returning it and requesting a refund.,2,2018-02-05,,True,,Cannot drain the internal water chamber.,Color: Black,
9,1,"Have had this product for around 6 months and it already has stopped working.  This is the second one I bought and both had the same issues.  The pump runs but no hot water comes out.  It's too late to return it so, I'm stuck with it. I won't buy another Keurig again.",1,2018-02-18,,True,,Have had this product for around 6 months and it ...,Color: Black,
10,1,Bought one for our house and we all love it! Very convenient it’s like having my own starbucks at home! It’s worth the price! The only down side for me is that the water reservoir is small. I which they made it a little bigger but other than that i love it!,5,2017-09-30,,True,,I love my Keurig!!,Color: Black,
11,1,"My expensive Cuisinart's Keurig died a few months ago and I purchased this one to replace it. I have had it for 3 months, make only 2 cups of coffee per day and its broken already. It appears water won't come through the machine. Its not clogged but because I checked the needle yesterday. To say I am angry is an understatement.  Of course I didn't keep the box it came in. Not pleased at all.....<br />Edited on August 30.  I was planning to toss this Keurig but decided to give  it one more try. I removed the water container, and picked the coffee maker up and placed it down on the counter several times to &#34; knock the air out&#34;...GENTLY. Replaced the carafe, added water and voilà its working.  I now refuse to remove the container and simply add water with another pitcher.  I believe the problem was an air bubble in one of the lines. I am very pleased with it now.",4,2016-06-26,,True,,Small problem,Color: Black,
12,1,Best thing since sliced bread- love being able to try all different coffees without having to make a full pot.,5,2016-10-25,,True,,Best thing since sliced bread- love being able to try ...,Color: Black,
13,1,I previously had a Keurig and loved it. I bought a new one for Christmas from Amazon. It worked for four weeks. I no longer have the box and has been a hassle to return. I am very unhappy with my new Keurig,1,2018-01-25,,True,,I previously had a Keurig and loved it. I bought a new one for Christmas ...,Color: Black,
14,1,Had it less than a year and it's already broken. Not worth the money. Home units are made cheaply and if one thing stops working you might as well through it out.,1,2017-11-16,,True,,Not worth the money,Color: Black,
15,1,"Now here is a product I can get behind, I'm not a huge coffee drinker, but I do drink more in winter and enjoy a cup in the afternoon.",5,2016-10-22,,True,,glad I found you,Color: Black,
16,1,Wedding gift,5,2016-08-20,,True,,Five Stars,Color: Black,
17,1,Not a great Keurig.  hen used with K-cup it is sloppy and makes a mess all over our counter.  Would never buy this model again!,1,2017-01-04,2.0,True,,Not my favorite Keurig.,Color: Black,
18,1,The boxed was beated up. The water doesn't brew. I bought it as a gift & the person had to PAY to get it fixed. Embarrassing. I DO NOT recommend.,1,2017-01-01,,True,,I DO NOT recommend.,Color: Black,
